filename,view,psnr_unique3d,ssim_unique3d,lpips_unique3d,clip_sim_unique3d,psnr_zero123,ssim_zero123,lpips_zero123,clip_sim_zero123
COAST_GUARD_BOAT,front,24.55366805718782,0.9219655166986699,0.03101155161857605,93.625,9.13206578811545,0.7970086333933939,0.40685558319091797,93.8125
COAST_GUARD_BOAT,left,8.545082524573983,0.8102438304713993,0.4307279884815216,92.6875,7.074397873420706,0.6896658618022944,0.603304922580719,76.625
COAST_GUARD_BOAT,right,8.616993162373795,0.8068691396452735,0.4249606132507324,92.25,8.518948065638474,0.7789901452003473,0.4873099625110626,83.75
COAST_GUARD_BOAT,back,8.81584865773242,0.7151986040538106,0.5974898338317871,78.6875,13.219768044496263,0.8359119678801837,0.3742501139640808,77.3125
Crayola_Crayons_120_crayons,front,27.747874256804252,0.9440278761527615,0.03187336400151253,123.4375,7.760024869801988,0.7517136350125415,0.349511981010437,100.1875
Crayola_Crayons_120_crayons,left,8.379415379525987,0.8208248660454355,0.40226510167121887,100.5625,9.530734464235932,0.7973040245885601,0.34568244218826294,99.625
Crayola_Crayons_120_crayons,right,8.239744358717882,0.8129202365931448,0.40371328592300415,92.5625,9.434178210659368,0.8009934118773301,0.34949594736099243,96.3125
Crayola_Crayons_120_crayons,back,16.91532512983825,0.8325519276733363,0.25045034289360046,94.75,9.50485734206995,0.7859745309742501,0.3503721356391907,99.125
CREATIVE_BLOCKS_35_MM,front,25.39499371505443,0.960059500952933,0.03412044793367386,111.375,10.391185006119382,0.840611429889374,0.32532280683517456,114.125
CREATIVE_BLOCKS_35_MM,left,10.002555955914643,0.851783448674925,0.43881693482398987,93.9375,10.866054854965483,0.8543789406419733,0.37000489234924316,93.625
CREATIVE_BLOCKS_35_MM,right,10.10969614588948,0.8513398022316134,0.419039249420166,100.1875,10.992345638262591,0.8621349035240256,0.3560202717781067,107.875
CREATIVE_BLOCKS_35_MM,back,9.558919432414632,0.7772894608229565,0.49100860953330994,103.6875,12.387162433001965,0.8334140197224945,0.3630608916282654,98.375
Crosley_Alarm_Clock_Vintage_Metal,front,16.39792597418442,0.8960586686851374,0.0684969425201416,109.5,12.404752753975238,0.8623684352488283,0.1753857284784317,109.4375
Crosley_Alarm_Clock_Vintage_Metal,left,10.468506245442516,0.8478745814002767,0.36661601066589355,105.125,10.347900009037662,0.8374979529628239,0.3015783727169037,105.3125
Crosley_Alarm_Clock_Vintage_Metal,right,10.481517539288415,0.8502984463028238,0.363699734210968,104.8125,12.14260713040803,0.8608442389438254,0.23702284693717957,105.5
Crosley_Alarm_Clock_Vintage_Metal,back,9.462829024642748,0.7889989059798679,0.3462873101234436,101.6875,9.1675780320037,0.7696834897716134,0.3573262095451355,96.625
GEOMETRIC_PEG_BOARD,front,2.6866255144060878,0.27970087702352375,0.4097362756729126,110.875,8.692976394689993,0.2503306953570119,0.7832719683647156,97.875
GEOMETRIC_PEG_BOARD,left,6.228199716183259,0.5286277278741325,0.5533072352409363,96.1875,4.856769380288478,0.5286424620816392,0.7478146553039551,94.5
GEOMETRIC_PEG_BOARD,right,6.464140116813728,0.5804389805796826,0.5409893989562988,98.5625,6.008603337520296,0.08885858528330073,0.9327431321144104,98.5625
GEOMETRIC_PEG_BOARD,back,4.656145434733283,0.3343886924229621,0.7497444152832031,84.3125,7.431925309437996,0.44074761101305077,0.6513720154762268,81.5625
GoPro_HERO3_Composite_Cable,front,11.634539735737857,0.82736273405149,0.14442132413387299,111.0625,12.614200092715329,0.8595512162447841,0.10897790640592575,111.8125
